weight,word,color,url
137,macb,#7d3c98,
122,haue,#f4d03f,
90,thou,#7d3c98,
81,enter,#f4d03f,
68,shall,#7d3c98,
67,come,#f4d03f,
66,king,#7d3c98,
66,macbeth,#f4d03f,
62,vpon,#7d3c98,
61,thee,#f4d03f,
58,macd,#7d3c98,
57,yet,#f4d03f,
56,thy,#7d3c98,
53,would,#f4d03f,
52,hath,#7d3c98,
50,time,#f4d03f,
49,good,#7d3c98,
49,rosse,#f4d03f,
48,lady,#7d3c98,
46,lord,#f4d03f,
45,make,#7d3c98,
43,like,#f4d03f,
43,night,#7d3c98,
42,let,#f4d03f,
42,st,#7d3c98,
