weight,word,color,url
216,lord,#7d3c98,
180,king,#f4d03f,
178,haue,#7d3c98,
127,come,#f4d03f,
107,hamlet,#7d3c98,
107,let,#f4d03f,
107,shall,#7d3c98,
107,thou,#f4d03f,
98,good,#7d3c98,
95,hor,#f4d03f,
90,thy,#7d3c98,
85,enter,#f4d03f,
83,like,#7d3c98,
81,oh,#f4d03f,
73,would,#7d3c98,
71,know,#f4d03f,
71,well,#7d3c98,
70,father,#f4d03f,
70,make,#7d3c98,
69,ti,#f4d03f,
68,selfe,#7d3c98,
66,loue,#f4d03f,
65,may,#7d3c98,
65,sir,#f4d03f,
61,go,#7d3c98,
